Year,Survey Country,NPFMC Sablefish Mgmt Area ID,NPFMC Sablefish Management Area,Species Code,Common Name,CPUE,RPN,RPW
1990,Japan,6,West Yakutat,20510,"""Sablefish""",8.1,47000,166000
1990,Japan,7,Western Gulf of Alaska,20510,"""Sablefish""",5.4,50000,167000
1990,United States,1,Aleutians,20510,"""Sablefish""",,,
1990,United States,2,Bering Sea,20510,"""Sablefish""",,,
1990,United States,3,Central Gulf of Alaska,20510,"""Sablefish""",11.222278152957,198323.666802588,687252.420537514
1990,United States,4,East Yakutat/Southeast,20510,"""Sablefish""",11.958318564568,118605.771767993,394026.110524032
1990,United States,6,West Yakutat,20510,"""Sablefish""",12.9895479186524,75105.5660656482,268334.043363773
1990,United States,7,Western Gulf of Alaska,20510,"""Sablefish""",7.63074363944806,69798.4120700314,248437.980372872
1989,Japan,1,Aleutians,20510,"""Sablefish""",3.15,145000,476000
1989,Japan,2,Bering Sea,20510,"""Sablefish""",4.5,118000,345000
1989,Japan,3,Central Gulf of Alaska,20510,"""Sablefish""",10.8,189000,639000
1989,Japan,4,East Yakutat/Southeast,20510,"""Sablefish""",7.2,78000,266000
1989,Japan,6,West Yakutat,20510,"""Sablefish""",11.25,65000,234000
1989,Japan,7,Western Gulf of Alaska,20510,"""Sablefish""",7.2,67000,217000
1988,Japan,1,Aleutians,20510,"""Sablefish""",2.7,132000,359000
1988,Japan,2,Bering Sea,20510,"""Sablefish""",3.6,92000,226000
1988,Japan,3,Central Gulf of Alaska,20510,"""Sablefish""",13.05,233000,727000
1988,Japan,4,East Yakutat/Southeast,20510,"""Sablefish""",8.55,89000,285000
1988,Japan,6,West Yakutat,20510,"""Sablefish""",11.7,67000,212000
1988,Japan,7,Western Gulf of Alaska,20510,"""Sablefish""",10.35,94000,279000
1987,Japan,1,Aleutians,20510,"""Sablefish""",3.6,162000,491000
1987,Japan,2,Bering Sea,20510,"""Sablefish""",3.15,77000,208000
1987,Japan,4,East Yakutat/Southeast,20510,"""Sablefish""",7.65,82000,265000
1987,Japan,6,West Yakutat,20510,"""Sablefish""",11.7,67000,214000
1986,Japan,1,Aleutians,20510,"""Sablefish""",3.6,162000,491000
1986,Japan,2,Bering Sea,20510,"""Sablefish""",7.65,205000,528000
1986,Japan,4,East Yakutat/Southeast,20510,"""Sablefish""",8.55,90000,283000
1986,Japan,7,Western Gulf of Alaska,20510,"""Sablefish""",11.7,109000,322000
1985,Japan,1,Aleutians,20510,"""Sablefish""",4.05,197000,566000
1985,Japan,2,Bering Sea,20510,"""Sablefish""",9,239000,547000
1985,Japan,4,East Yakutat/Southeast,20510,"""Sablefish""",7.2,78000,248000
1985,Japan,7,Western Gulf of Alaska,20510,"""Sablefish""",13.05,121000,360000
1984,Japan,2,Bering Sea,20510,"""Sablefish""",5.85,154000,359000
1984,Japan,4,East Yakutat/Southeast,20510,"""Sablefish""",5.85,64000,192000
1983,Japan,1,Aleutians,20510,"""Sablefish""",3.15,137000,359000
